Dados gravados: 2025-06-17 15:35:41.121568 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.121568 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.121568 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.121568 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.229323 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.229323 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.229323 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.232633 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.240778 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.246132 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.247129 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.249180 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.269141 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.392168 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.392168 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.392168 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.398916 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.399930 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.400635 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.400635 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.400635 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.400635 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.406210 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.407206 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.428161 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.429169 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.429169 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.429169 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.429169 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.429169 | Bid: 103988.17000000 | Ask: 103988.18000000
Dados gravados: 2025-06-17 15:35:41.433411 | Bid: 103988.17000000 | Ask: 103988.18000000
